Date,Date,Store,Predicted Sales,Customer
2015-09-17,2015-09-17,1,7182.25,709.5
2015-09-17,2015-09-17,3,5923.75,601.75
2015-09-17,2015-09-17,7,5932.166666666667,623.3333333333334
2015-09-17,2015-09-17,8,5932.166666666667,623.3333333333334
2015-09-17,2015-09-17,9,5932.166666666667,623.3333333333334
2015-09-17,2015-09-17,10,5932.166666666667,623.3333333333334
2015-09-17,2015-09-17,11,5932.166666666667,623.3333333333334
2015-09-17,2015-09-17,12,5932.166666666667,623.3333333333334
2015-09-17,2015-09-17,13,5932.166666666667,623.3333333333334
2015-09-17,2015-09-17,14,5932.166666666667,623.3333333333334
