Date,Date,Store,Predicted Sales
2022-09-11,2022-09-11,22,7177.141636511768
2022-09-12,2022-09-12,22,7177.141636511768
2022-09-13,2022-09-13,22,7177.141636511768
2022-09-14,2022-09-14,22,7177.141636511768
2022-09-15,2022-09-15,22,7177.141636511768
2022-09-16,2022-09-16,22,7177.141636511768
2022-09-17,2022-09-17,22,7177.141636511768
2022-09-18,2022-09-18,22,6938.9585632386
2022-09-19,2022-09-19,22,6900.49272238239
2022-09-20,2022-09-20,22,6900.49272238239
2022-09-21,2022-09-21,22,6850.268196189389
2022-09-22,2022-09-22,22,6850.268196189389
2022-09-23,2022-09-23,22,6850.268196189389
2022-09-24,2022-09-24,22,6820.395878244585
2022-09-25,2022-09-25,22,6820.395878244585
2022-09-26,2022-09-26,22,6820.395878244585
2022-09-27,2022-09-27,22,7019.988098879656
2022-09-28,2022-09-28,22,7019.988098879656
2022-09-29,2022-09-29,22,7019.988098879656
2022-09-30,2022-09-30,22,7762.320259865892
2022-10-01,2022-10-01,22,7094.334643131284
2022-10-02,2022-10-02,22,7152.12227801362
2022-10-03,2022-10-03,22,6178.879997187976
2022-10-04,2022-10-04,22,7198.113081393414
2022-10-05,2022-10-05,22,7198.113081393414
2022-10-06,2022-10-06,22,7177.141636511768
2022-10-07,2022-10-07,22,7177.141636511768
2022-10-08,2022-10-08,22,7177.141636511768
2022-10-09,2022-10-09,22,7177.141636511768
2022-10-10,2022-10-10,22,7177.141636511768
2022-10-11,2022-10-11,22,7177.141636511768
2022-10-12,2022-10-12,22,7177.141636511768
2022-10-13,2022-10-13,22,7177.141636511768
2022-10-14,2022-10-14,22,7177.141636511768
2022-10-15,2022-10-15,22,7177.141636511768
2022-10-16,2022-10-16,22,7177.141636511768
2022-10-17,2022-10-17,22,7177.141636511768
2022-10-18,2022-10-18,22,6938.9585632386
2022-10-19,2022-10-19,22,6900.49272238239
2022-10-20,2022-10-20,22,6900.49272238239
2022-10-21,2022-10-21,22,6850.268196189389
2022-10-22,2022-10-22,22,6850.268196189389
