Date,Date,Store,Predicted Sales
2022-09-11,2022-09-11,22,8.878656482014746
2022-09-12,2022-09-12,22,8.878656482014746
2022-09-13,2022-09-13,22,8.878656482014746
2022-09-14,2022-09-14,22,8.878656482014746
2022-09-15,2022-09-15,22,8.878656482014746
2022-09-16,2022-09-16,22,8.878656482014746
2022-09-17,2022-09-17,22,8.878656482014746
2022-09-18,2022-09-18,22,8.844906979306362
2022-09-19,2022-09-19,22,8.839348097076773
2022-09-20,2022-09-20,22,8.839348097076773
2022-09-21,2022-09-21,22,8.8320430832182
2022-09-22,2022-09-22,22,8.8320430832182
2022-09-23,2022-09-23,22,8.8320430832182
2022-09-24,2022-09-24,22,8.827672795816294
2022-09-25,2022-09-25,22,8.827672795816294
2022-09-26,2022-09-26,22,8.827672795816294
2022-09-27,2022-09-27,22,8.856516801702131
2022-09-28,2022-09-28,22,8.856516801702131
2022-09-29,2022-09-29,22,8.856516801702131
2022-09-30,2022-09-30,22,8.957036571044945
2022-10-01,2022-10-01,22,8.867051806920616
2022-10-02,2022-10-02,22,8.875164413744896
2022-10-03,2022-10-03,22,8.728892303799071
2022-10-04,2022-10-04,22,8.881574198628579
2022-10-05,2022-10-05,22,8.881574198628579
2022-10-06,2022-10-06,22,8.878656482014746
2022-10-07,2022-10-07,22,8.878656482014746
2022-10-08,2022-10-08,22,8.878656482014746
2022-10-09,2022-10-09,22,8.878656482014746
2022-10-10,2022-10-10,22,8.878656482014746
2022-10-11,2022-10-11,22,8.878656482014746
2022-10-12,2022-10-12,22,8.878656482014746
2022-10-13,2022-10-13,22,8.878656482014746
2022-10-14,2022-10-14,22,8.878656482014746
2022-10-15,2022-10-15,22,8.878656482014746
2022-10-16,2022-10-16,22,8.878656482014746
2022-10-17,2022-10-17,22,8.878656482014746
2022-10-18,2022-10-18,22,8.844906979306362
2022-10-19,2022-10-19,22,8.839348097076773
2022-10-20,2022-10-20,22,8.839348097076773
2022-10-21,2022-10-21,22,8.8320430832182
2022-10-22,2022-10-22,22,8.8320430832182
